job_title,university,location,job_type,date
Assistant Professor of Computer Science,University of the Ozarks,Clarksville  AR,Computer Science,10/07/19
Associate Professor or Professor & Director of Institute for Cybersecurity,Southeast Missouri State University,Cape Girardeau  MO,Computer Science,10/05/19
Assistant Professor of Computing,Lander University,Greenwood  SC,Computer Science,10/04/19
Freelance Author (m/f/d) - Model Engineering,IUBH Internationale Hochschule GmbH Fernstudium,Online/Remote,Computer Engineering,10/04/19
Assistant Professor  Computer Science,Mercy College,Manhattan  NY,Computer Science,10/04/19
Assistant Professor of Computer Science,Illinois State University,Normal  IL,Computer Science,10/04/19
Lecturer/Senior Lecturer/Principal Lecturer  Computer Science (NTE) (Multiple Positions),The University of Arizona,Tucson  AZ,Computer Science,10/04/19
Assistant Professor (Job Id: 38217),University of Louisville,Louisville  KY,Computer Engineering,10/04/19
Computer Science Instructor,University of Colorado Boulder,Boulder  CO,Computer Science,10/04/19
Assistant Professor of Computer Science,Charleston Southern University,Charleston  SC,Computer Science,10/03/19
Tenure-Track Position in Computer Science,Illinois Wesleyan University,Bloomington  IL,Computer Science,10/03/19
Adjunct Instructor - Cybersecurity CTU Colorado Springs,CTU Colorado Springs,Colorado Springs  CO,Computer Science,10/03/19
Adjunct Instructor - UNIX/Perl Programming CTU Colorado Springs,CTU Colorado Springs,Colorado Springs  CO,Computer Science,10/03/19
Assistant or Associate Professor of Information Technology & Security,Campbell University,Buies Creek  NC,Computer Science,10/03/19
Instructor of Computer Science,New Mexico Highlands University,Las Vegas  NM,Computer Science,10/03/19
Instructor of Computer Science,New Mexico Highlands University,Las Vegas  NM,Computer Science,10/03/19
Assistant Professor of Computer Science,California State University  Monterey Bay,Seaside  CA,Computer Science,10/03/19
Assistant Professor in Computer Science (Quantum Information),Indiana University Bloomington,Bloomington  IN,Computer Science,10/03/19
Assistant Professor in Computer Science (Machine Learning and Artificial Intelligence),Indiana University Bloomington,Bloomington  IN,Computer Science,10/03/19
Assistant Professor of Engineering (Multiple Positions Available),University of Indianapolis,Indianapolis  IN,Computer Engineering,10/03/19
VCUarts Adjunct Instructor - Center for the Creative Economy,Virginia Commonwealth University,Richmond  VA,Computer Science,10/03/19
Postdoctoral Research Associate  Machine Learning Department,Carnegie Mellon University,Pittsburgh  PA,Computer Science,10/03/19
Teaching Assistant Professor  Computer Science,New York Institute of Technology,New York  NY,Computer Science,10/03/19
Assistant Professor of Computer Science,Montclair State University,Montclair  NJ,Computer Science,10/03/19
Clinical Assistant Professor; Computer Science,Washington State University,Everett  WA,Computer Science,10/03/19
Computer Science Adjunct Faculty (Volunteer Position),University of the People,Online/Remote,Computer Science,10/02/19
Assistant Professor of Computer Science,Westminster College,New Wilmington  PA,Computer Science,10/02/19
Instructor of the Practice in Computer Science,Dixie State University,St. George  UT,Computer Science,10/02/19
Assistant Professor (#37),Marywood University,Scranton  PA,Computer Science,10/02/19
Assistant Professor of Cyber Security (Tenure-Track) - College of Arts and Sciences,Ashland University,Ashland  OH,Computer Science,10/02/19
Assistant Professor of Computer Science (Tenure-Track) - College of Arts and Sciences,Ashland University,Ashland  OH,Computer Science,10/02/19
Assistant/Associate Professor  Computational and Data Sciences,George Mason University,Fairfax  VA,Computer Science,10/02/19
Adjunct Faculty - Computational and  Data Sciences,George Mason University,Fairfax  VA,Computer Science,10/02/19
Assistant Professor-Computer Science (TT),Rutgers  The State University of New Jersey,Camden  NJ,Computer Science,10/02/19
Lecturer,Princeton University,Princeton  NJ,Computer Science,10/02/19
Tenure-Track Faculty,Johns Hopkins University,Baltimore  MD,Computer Science,10/02/19
State Farm Endowed Chair in Cybersecurity,Illinois State University,Normal  IL,Information Systems and Technology,10/02/19
Associate Professor of the Practice  Computer Science  College of Arts & Sciences,Boston University,Boston  MA,Computer Science,10/02/19
Assistant Professor of Computer Science 999554,Xavier University,Cincinnati  OH,Computer Science,10/02/19
Postdoctoral Fellowship,Virginia Commonwealth University,Richmond  VA,Computer Science,10/02/19
Adjunct - Enterprise Applications Programming II - Traditional Campus - College of Science  Engineering and Technology,Grand Canyon University,Phoenix  AZ,Computer Science,10/02/19
Adjunct - Design Patterns in Java - Traditional Campus - College of Science  Engineering and Technology,Grand Canyon University,Phoenix  AZ,Computer Science,10/02/19
Adjunct - Computer Programming III - Traditional Campus - College of Science  Engineering and Technology,Grand Canyon University,Phoenix  AZ,Computer Engineering,10/02/19
Adjunct - Algorithms and Data Structures - Traditional Campus - College of Science  Engineering and Technology,Grand Canyon University,Phoenix  AZ,Computer Science,10/02/19
Assistant/Associate Professor of Computer Science,Grambling State University,Grambling  LA,Computer Science,10/02/19
Adjunct - Programming for Engineering & Lab - Traditional Campus - College of Science  Engineering and Technology,Grand Canyon University,Phoenix  AZ,Computer Science,10/02/19
Adjunct - Introduction to Database Structures - Traditional Campus - College of Science  Engineering and Technology,Grand Canyon University,Phoenix  AZ,Computer Science,10/02/19
Professor  Information School,University of Wisconsin - Madison,Madison  WI,Computer Science,10/02/19
Computer & Information Technologies - Instructor,Southcentral Kentucky Community and Technical College,Bowling Green  KY,Computer Science,10/02/19
Assistant Professor-Information Systems,Thiel College,Greenville  PA,Computer Science,10/01/19
The Grainger College of Engineering: Professor (Open Rank) - Computer Science (121141),University of Illinois at Urbana-Champaign,Urbana  IL,Computer Science,10/01/19
Assistant Professor of Information Security and Assurance,Kennesaw State University,Kennesaw  GA,Computer Science,10/01/19
Assistant Professor of Computer Science,King's College,Wilkes-Barre  PA,Computer Science,10/01/19
Assistant Professor - Computer Science,University of Wisconsin - La Crosse,La Crosse  WI,Computer Science,10/01/19
C++ Adjunct Instructor,East Central College,Union  MO,Computer Science,10/01/19
Lecturer or Lecturer (Doctoral Schedule) (Multiple Positions) - Computer Science,Hunter College  CUNY,New York  NY,Computer Science,10/01/19
Faculty Open Rank (Multiple Positions) - Computer Science,Hunter College  CUNY,New York  NY,Computer Science,10/01/19
Open Rank  Quantitative Analysis - Darden School of Business,University of Virginia,Charlottesville  VA,Information Systems and Technology,10/01/19
Online Adjunct Instructor - Various Disciplines,Tarrant County College District,Fort Worth  TX,Accounting,10/01/19
Adjunct Instructor - Various Disciplines,Tarrant County College District,Fort Worth  TX,Speech and Public Speaking,10/01/19
Adjunct Faculty - School of Computing Sciences and Computer Engineering,University of Southern Mississippi  The,Hattiesburg  MS,Computer Science,10/01/19
Assistant Professor  Tenure Track,University of Colorado Denver,Aurora  CO,Statistics,10/01/19
Tenure Track Assistant Professor  Computer & Information Sciences,University of Delaware,Newark  DE,Information Systems and Technology,10/01/19
Assistant  Associate or Full Professor-Cluster Hire-Augmented and Virtual Reality-Computing Education,The University of Texas at San Antonio,San Antonio  TX,Computer Science,10/01/19
Tenure-Track and Tenured Faculty Positions in Cybersecurity and Privacy,Penn State,University Park  PA,Computer Science,10/01/19
Tenure-Track and Tenured Faculty Positions in Artificial Intelligence (AI),Penn State,University Park  PA,Computer Science,10/01/19
Computer Science -Open-Rank Tenure-Track Faculty,Syracuse University,Syracuse  NY,Computer Science,10/01/19
Assistant/Associate Teaching Professor - Computer Science (Full-time),Syracuse University,Syracuse  NY,Computer Science,10/01/19
Instructional Faculty,Rochester Institute of Technology,Rochester  NY,Computer Science,10/01/19
Tenure-Track Faculty Position in Computational Social Science,University of Notre Dame,Notre Dame  IN,Computer Science,10/01/19
Quantum Computing Faculty Position,University of Notre Dame,Notre Dame  IN,Computer Engineering,10/01/19
Lecturer of Computer Science,Kennesaw State University,Kennesaw  GA,Computer Science,09/30/19
Multiple Tenure-Track Positions With the Department of Computer Science & Engineering at the University of Minnesota-Twin Cities,University of Minnesota,Twin Cities  MN,Computer Science,09/30/19
Tenure Track and Tenured Positions at the Assistant  Associate  and Full Professor Levels,Augusta University,Augusta  GA,Information Systems and Technology,09/30/19
Assistant Professor - Computer and Information Science,SUNY College at Old Westbury,Old Westbury  NY,Computer Science,09/30/19
Tenure- Track Position in Computer Science,New Jersey City University,Jersey City  NJ,Computer Science,09/30/19
Computer Science Full-Time Tenure Track,Slippery Rock University,Slippery Rock  PA,Computer Science,09/30/19
Assistant Professor  Information Technology Education (ITE) (Network Systems Technology),Santa Fe College,Gainesville  FL,Information Systems and Technology,09/30/19
Cybersecurity Faculty - Computer Science Department | Tenure Track,Slippery Rock University,Slippery Rock  PA,Computer Science,09/30/19
Computer Science  Data Science  Tenure-Track Faculty,Middle Tennessee State University,Murfreesboro  TN,Computer Science,09/30/19
Computer Science  Tenure-Track Faculty,Middle Tennessee State University,Murfreesboro  TN,Computer Science,09/30/19
Computer Science Tenure-Track Faculty,Molloy College,Rockville Centre  NY,Computer Science,09/30/19
Lecturer in Computer Science,University of Southern Maine,Portland  ME,Computer Science,09/30/19
Assistant Professor of Computer Science,University of Southern Maine,Portland  ME,Computer Science,09/30/19
Lecturer in Computer Science,Auburn University Montgomery,Montgomery  AL,Computer Science,09/30/19
Adjunct - Database Application Programming I - Traditional Campus - College of Science  Engineering and Technology,Grand Canyon University,Phoenix  AZ,Computer Science,09/30/19
Adjunct - Computer Programming II - Traditional Campus - College of Science  Engineering and Technology,Grand Canyon University,Phoenix  AZ,Computer Science,09/30/19
Assistant/Associate/Professor in Cyber and Computer Sciences,The Citadel,Charleston  SC,Computer Science,09/30/19
Assistant/Associate/Full Professor-Computer Science,The University of Texas at San Antonio,San Antonio  TX,Computer Science,09/30/19
Assistant Professor  Computer Science,Delaware County Community College,Marple  PA,Computer Science,09/30/19
Faculty Positions in Electrical Engineering & Computer Science,Embry-Riddle Aeronautical University,Daytona Beach  FL,Electrical Engineering,09/30/19
FT/Tenure Track Instructor - Computer Science (Cybersecurity),Santa Monica College,Santa Monica  CA,Computer Science,09/30/19
Computer Science (20-31),California State University  Northridge,Northridge  CA,Computer Science,09/27/19
Assistant/ Associate Professor of Practice Positions in Computer Science,Purdue University,West Lafayette  IN,Computer Science,09/27/19
Tenure-Track/Tenured Professors in Computer Science - Artificial Intelligence,Purdue University,West Lafayette  IN,Computer Science,09/27/19
Tenure-Track/Tenured Faculty Positions in Theoretical Computer Science,Purdue University,West Lafayette  IN,Computer Science,09/27/19
Tenure-Track/Tenured Professors in Computer Science- Artificial Intelligence,Purdue University,West Lafayette  IN,Computer Science,09/27/19
Assistant Professor of Computer Graphics - Human Centered Design and Computing,Purdue University,West Lafayette  IN,Computer Science,09/27/19
Assistant Professor of Computer Science,State University of New York at New Paltz,New Paltz  NY,Computer Science,09/27/19
Chief Examiner for Computer Science,International Baccalaureate,Online/Remote,Computer Science,09/27/19
Assistant Professor of Computer Science,The College at Brockport  State University of New York,Brockport  NY,Computer Science,09/27/19
Computer Science Instructor (Adjunct Faculty Pool),Rogue Community College,Grants Pass  OR,Computer Science,09/27/19
Part-time Instructor: Online Software Development,University of California  Irvine,Online/Remote,Computer Science,09/27/19
Faculty Program Director &#8211; Cybersecurity   (Job #1390),Excelsior College,Albany  NY,Computer Science,09/27/19
Non-Credit Technology Instructor,Georgian Court University,Lakewood  NJ,Computer Science,09/27/19
Assistant Professor,The University of Memphis,Memphis  TN,Computer Science,09/27/19
Tenure Track Associate Professor  Computer and Information Sciences,University of Delaware,Newark  DE,Computer Science,09/27/19
Assistant Professor  Computing Technology (Tenure-Track),Marist College,Poughkeepsie  NY,Computer Science,09/26/19
Assistant Professor or Professional Lecturer  Computing Technology,Marist College,Poughkeepsie  NY,Computer Science,09/26/19
Assistant Professor - Computer Science,University of St. Thomas - Houston,Houston  TX,Computer Science,09/26/19
Postdoctoral Research Associate,Northeastern University,Boston  MA,Computer Science,09/26/19
Faculty Position in Computer Science,Simmons University,Boston  MA,Computer Science,09/26/19
Assistant to Associate Deans - Computing and Information Science,Cornell University,Ithaca  NY,Science Deans,09/26/19
Open Rank  Multi Tenure-line Faculty Positions,George Mason University,Fairfax  VA,Computer Science,09/26/19
Tenure-Track Position In Computer Science,New College of Florida,Sarasota  FL,Computer Science,09/25/19
Post Doc Research Associate,University of Utah,Salt Lake City  UT,Electrical Engineering,09/25/19
Professor  Game and Simulation Development (Master's Degree Required),Tyler Junior College,Tyler  TX,Computer Science,09/25/19
Assistant Professor of Computer Science,University of Wisconsin - Stout,Menomonie  WI,Computer Science,09/25/19
Computation Course Co-Instructor and Education Support Coordinator,Massachusetts Institute of Technology,Cambridge  MA,Computer Science,09/25/19
Part-time Faculty  Computer Science,Palomar College,San Marcos  CA,Computer Science,09/25/19
Assistant Professor of Computer Science,Longwood University,Farmville  VA,Computer Science,09/24/19
Tenure-Track Faculty Position - Artificial Intelligence,The University of Hong Kong,Hong Kong  Hong Kong,Computer Engineering,09/24/19
Assistant Professor of Data Science,John Carroll University,Cleveland  OH,Other Science Faculty,09/24/19
Dean - College of Computer & Information Technology,American University in the Emirates,Dubai  United Arab Emirates,Science Deans,09/24/19
Assistant  Associate  Or Full Professor Of Computer Sciences,University of Wisconsin - Madison,Madison  WI,Computer Science,09/24/19
Biotechnology Part-Time Instructor,Solano Community College,Fairfield  Vacaville  Vallejo  CA,Biology,09/24/19
Assistant Teaching Professor - Computer Science,University of Massachusetts Lowell,Lowell  MA,Computer Science,09/24/19
Assistant Professor - Computer Science (multiple positions),University of Massachusetts Lowell,Lowell  MA,Computer Science,09/24/19
Assistant Professor in Computer Science/Engineering,University of Kentucky,Lexington  KY,Computer Science,09/24/19
Adjunct Faculty  Computer Science - 999500,Miami Dade College,Miami  FL,Computer Science,09/24/19
Adjunct Faculty  Computer Science - 999468,Miami Dade College,Miami  FL,Computer Science,09/24/19
Assistant/Associate Professor in Systems  Department of Computer Science UNLV Howard R. Hughes College of Engineering [R0118463],University of Nevada Las Vegas,Las Vegas  NV,Computer Science,09/24/19
Assistant/Associate Professor in Big Data and Machine Learning  Department of Computer Science  UNLV Howard R. Hughes College of Engineering [R0118464],University of Nevada Las Vegas,Las Vegas  NV,Computer Science,09/24/19
F1900150 - Assistant Professor of Research - Computer Science and Engineering,University at Buffalo,Buffalo  NY,Computer Science,09/24/19
Computer Science (Assistant Professor  Human Computer Interactions  40.19),San Francisco State University,San Francisco  CA,Computer Science,09/24/19
CSE Asst/Assoc/Full Professor,University of Michigan,Ann Arbor  MI,Computer Engineering,09/24/19
Assistant Professor in Data Science (Tenure-Track),University of The Incarnate Word,San Antonio  TX,Computer Science,09/24/19
CSE Asst/Assoc/Full Professor,University of Michigan,Ann Arbor  MI,Computer Engineering,09/24/19
CSE Asst/Assoc/Full Professor,University of Michigan,Ann Arbor  MI,Computer Engineering,09/24/19
CSE Asst/Assoc/Full Professor,University of Michigan,Ann Arbor  MI,Computer Engineering,09/24/19
CSE Asst/Assoc/Full Professor,University of Michigan,Ann Arbor  MI,Computer Engineering,09/24/19
Computer Science - Full-Time  Tenure-Track  Assistant Professor,University of Central Oklahoma,Edmond  OK,Computer Science,09/24/19
Assistant/Associate/Full Professor,Texas Tech University,Lubbock  TX,Computer Science,09/23/19
Assistant Professor of Computer Science - Tenure Track,Adams State University,Alamosa  CO,Computer Science,09/23/19
Open Rank Faculty Position in Computer Science,Southern Methodist University,Dallas  TX,Computer Science,09/23/19
Instructor or Lecturer  Computer Science and Information Technology,University of Central Florida,Orlando  FL,Information Systems and Technology,09/23/19
Assistant Professor  Computer Science - Tenure Track,New York Institute of Technology,Old Westbury  NY,Computer Science,09/23/19
Assistant Professor  Computer Science - Tenure Track,New York Institute of Technology,New York  NY,Computer Science,09/23/19
Assistant Professor,Troy University,Troy  AL,Information Systems and Technology,09/23/19
Assistant Professor,Clarkson University,Potsdam  NY,Computer Science,09/23/19
Assistant Professor - Computer Science/Software Engineering,Monmouth University,West Long Branch  NJ,Computer Science,09/23/19
Associate or Full Professor of Computer Science,Princeton University,Princeton  NJ,Computer Science,09/23/19
Assistant Professor of Computer Science,Princeton University,Princeton  NJ,Computer Science,09/23/19
Lecturer - Full Time  Ithaca Campus,Cornell University,Ithaca  NY,Computer Science,09/23/19
Computer Science (Assistant Professor  Big Data/Data Analytics  39.19),San Francisco State University,San Francisco  CA,Computer Science,09/23/19
Computer Science Faculty (PTCSC-20),Oakton Community College,Des Plaines  IL,Computer Science,09/23/19
Adjunct Associate Professor of Computer Science,San Joaquin Delta Community College District,Stockton  CA,Computer Science,09/23/19
Open Rank Tenure-Track Faculty Positions - Computer Science,Cornell University,Ithaca  NY,Computer Science,09/23/19
Adjunct Faculty  Data Analytics (BAS) - 999338,Miami Dade College,Miami  FL,Computer Science,09/23/19
Adjunct Faculty  Computer Science - 999436,Miami Dade College,Doral  FL,Computer Science,09/23/19
Adjunct Faculty  Computer Science - 999423,Miami Dade College,Miami  FL,Computer Science,09/23/19
Adjunct Faculty  Computer Science - 999334,Miami Dade College,Miami  FL,Computer Science,09/23/19
Adjunct Faculty  Computer Science - 999289,Miami Dade College,Homestead  FL,Computer Science,09/23/19
Postdoctoral Researcher (Research Administration),Prairie View A&amp;M University,Prairie View  TX,Computer Science,09/23/19
Assistant Professor of Computer Science,Macalester College,St. Paul  MN,Computer Science,09/20/19
Computer Science Faculty – Machine Learning & Artificial Intelligence,Sacred Heart University,Fairfield  CT,Computer Science,09/20/19
Assistant/Associate Professor - Informatics,University of Massachusetts - Amherst,Amherst  MA,Computer Science,09/20/19
Part-time Instructor-BPS Cybersecurity Administration Courses (Online),Syracuse University,Syracuse  NY,Computer Science,09/20/19
Instructor - Cybersecurity,Tarrant County College District,Fort Worth  TX,Computer Science,09/20/19
Instructional Associate - Computer Science,Tarrant County College District,Fort Worth  TX,Computer Science,09/20/19
Assistant Professor of Computer Engineering and Computer Science (Software and Data Engineering),California State University  Long Beach,Long Beach  CA,Computer Engineering,09/20/19
Assistant Professor of Computer Engineering and Computer Science (Game Development and Extended Reality),California State University  Long Beach,Long Beach  CA,Computer Engineering,09/20/19
Assistant Professor of Computer Engineering and Computer Science (Computer Engineering System Design),California State University  Long Beach,Long Beach  CA,Computer Engineering,09/20/19
Open Rank Professor - Data Science and Assistant Professor,Worcester Polytechnic Institute,Worcester  MA,Computer Science,09/20/19
Computer Science (Assistant Professor  Theory/Algorithms  38.19),San Francisco State University,San Francisco  CA,Computer Science,09/20/19
Lecturer/Senior Lecturer,Auburn University,Auburn  AL,Computer Science,09/20/19
Chair of Computer Science,Oklahoma City University,Oklahoma City  OK,Computer Science,09/19/19
Slane College of Communication and Fine Arts - Assistant Professor in Game Design,Bradley University,Peoria  IL,Digital Arts,09/19/19
Adjunct Instructor  Programmer/C++ and Python- CTU Online,CTU Online,Online/Remote,Computer Science,09/19/19
Adjunct Instructor Data Science - CTU Online,CTU Online,Online/Remote,Computer Science,09/19/19
Adjunct Instructor Machine Learning and Data Mining  CTU Online,CTU Online,Online/Remote,Computer Science,09/19/19
Adjunct Instructor Web Development - CTU Online,CTU Online,Online/Remote,Computer Science,09/19/19
Assistant Professor (req10519),University of New Mexico,Albuquerque  NM,Computer Science,09/19/19
Assistant Professor of Computer Science,Hofstra University,Hempstead  NY,Computer Science,09/19/19
Assistant Professor - Cybersecurity,Sacred Heart University,Fairfield  CT,Computer Science,09/19/19
Assistant Professor Computing Science,Jacksonville University,Jacksonville  FL,Computer Science,09/19/19
Visiting Assistant Professor of Computer Science,John Carroll University,Cleveland  OH,Computer Science,09/19/19
Tenure Track Positions in Computer Science,Bucknell University,Lewisburg  PA,Computer Science,09/19/19
Assistant/Associate Professor - Computer Science,The College of New Jersey,Ewing  NJ,Computer Science,09/19/19
Lecturer,University of Colorado Denver,Denver  CO,Computer Science,09/19/19
Assistant Professor of Computer Science,Worcester Polytechnic Institute,Worcester  MA,Computer Science,09/19/19
Associate Professor and Chair of Computer and Information Sciences,Cabrini University,Radnor  PA,Information Systems and Technology,09/19/19
Assistant Professor of Computer Science and Information Technology,Hood College,Frederick  MD,Information Systems and Technology,09/19/19
Adjunct Faculty  Computer Science - 999278,Miami Dade College,Hialeah  FL,Computer Science,09/19/19
Adjunct Faculty  Computer Science - 999252,Miami Dade College,Miami  FL,Computer Science,09/19/19
Adjunct Instructor - C++ Programming - CTU Denver,CTU Denver,Aurora  IL,Computer Science,09/18/19
Adjunct Instructor - Cybersecurity CTU Denver,CTU Denver,Aurora  IL,Computer Science,09/18/19
Adjunct Instructor - Networking CTU Denver,CTU Denver,Aurora  IL,Computer Science,09/18/19
Department Chair of Computer Science,The University of Tampa,Tampa  FL,Computer Science,09/18/19
Academic Professional Track Faculty (Non-Tenure): Open Rank & Title,Texas A&amp;M University,College Station  TX,Computer Science,09/18/19
Multiple Tenure Faculty Positions in Computer Science and Engineering,Penn State,University Park  PA,Computer Engineering,09/18/19
Assistant Professor - Computer Science  Tenure Track,Fitchburg State University,Fitchburg  MA,Information Systems and Technology,09/18/19
Assistant / Associate Professor of Data Science,College of Coastal Georgia,Brunswick  GA,Computer Science,09/18/19
Assistant Professor other ranks considered-Game Design,SUNY Canton,Canton  NY,Computer Science,09/17/19
Assistant Professor/Program Coordinator Computer Science,Northwestern Connecticut Community College,Winsted  CT,Computer Science,09/17/19
Assistant or Associate Professor  Computer Science,Millersville University of Pennsylvania,Millersville  PA,Computer Science,09/17/19
Adjunct Faculty – Computer Technology Department,Benjamin Franklin Institute of Technology,Boston  MA,Computer Science,09/17/19
Assistant Professor(s) of Cybersecurity,Christopher Newport University,Newport News  VA,Computer Science,09/17/19
Computer Science,Bard College at Simon's Rock and Bard Academy at Simon's Rock,Great Barrington  MA,Computer Science,09/17/19
Computer Science Education faculty position (open rank  term or tenure-line),George Mason University,Fairfax  VA,Computer Science,09/17/19
Assistant Professor  Computer Science,James Madison University,Harrisonburg  VA,Computer Science,09/17/19
Tenure-Track Faculty Positions,Simon Fraser University,Burnaby  BC  Canada,Computer Science,09/16/19
Computer Science Faculty Position,Louisiana College,Pineville  LA,Computer Science,09/16/19
Assistant Professor of Computer Science,Washington and Lee University,Lexington  VA,Computer Science,09/16/19
Assistant Professor of Computer Science,State University of New York at Oswego,Oswego  NY,Computer Science,09/16/19
Assistant/Associate Professor-Theory,University of Massachusetts - Amherst,Amherst  MA,Computer Science,09/16/19
Open Faculty Position in Computer Science Trustworthy Software,University of Colorado Boulder,Boulder  CO,Computer Science,09/16/19
Open Rank Teaching Professor in Computer Science and Engineering,University of California  Riverside,Riverside  CA,Computer Science,09/16/19
Open Rank Professor - Natural Language Processing and/or Machine Learning and Computer Architecture,University of California  Riverside,Riverside  CA,Computer Science,09/16/19
Assistant/Associate/Full Professor,Northeastern University,Boston  MA,Computer Science,09/16/19
Instructor/Assistant/Associate/Professor,Virginia Commonwealth University,Richmond  VA,Computer Science,09/16/19
Assistant Professor  Business Analytics  Questrom School of Business,Boston University,Boston  MA,Computer Science,09/16/19
Professor  Informatics (Open Rank),University at Albany,Albany  NY,Computer Science,09/14/19
Professor  Cybersecurity (Open Rank),University at Albany,Albany  NY,Computer Science,09/14/19
Assistant Professor of Computer Science  Computer Engineering  or Elect. Engineering  August 2020,Chapman University,Orange  CA,Computer Engineering,09/13/19
Associate/Full Professor of Computer Science  Computer Engineering  or Elect. Engineering  Fall 2020,Chapman University,Orange  CA,Computer Engineering,09/13/19
Open Rank/Professor of Computer Science  Computer Engineering  or Elect. Engineering  August 2020,Chapman University,Orange  CA,Computer Engineering,09/13/19
Full-time Cybersecurity Instructor,Clark College,Vancouver  WA,Computer Science,09/13/19
Computer Science Adjunct Instructor,Columbia College,Columbia  MO,Computer Science,09/13/19
Assistant Professor of Computer Science,California State University  Los Angeles,Los Angeles  CA,Computer Science,09/13/19
Program Director/Assistant-Associate Professor  Cybersecurity,Gannon University,Erie  PA,Computer Science,09/13/19
Visiting Assistant Professor of Computer Science,Swarthmore College,Swarthmore  PA,Computer Science,09/13/19
Assistant Professor of Computer Science,Swarthmore College,Swarthmore  PA,Computer Science,09/13/19
Faculty - Assistant/Associate Professor - Computer Science,Utah Valley University,Orem  UT,Computer Science,09/13/19
Lecturer  Assistant/Associate/Full Professor of Practice,Stony Brook University,Stony Brook  NY,Computer Science,09/13/19
Basic Computer Skills Instructor (English and Bilingual Spanish Course),Morton College,Cicero  IL,Computer Science,09/13/19
Assistant Professor (Job Id: 38089),University of Louisville,Louisville  KY,Computer Engineering,09/13/19
Assistant Professor of Computer Science,University of Dallas,Irving  TX,Computer Science,09/12/19
Assistant Professor of Computer Science,Bellarmine University,Louisville  KY,Computer Science,09/12/19
Assistant Professor - Computer Science,San Jose State University,San Jose  CA,Computer Science,09/12/19
Assistant Professor of Computer Science,Earlham College,Richmond  IN,Computer Science,09/12/19
Part-time Faculty: Computer Science and Information Technology  #19-MSB,St. Charles Community College,Cottleville  MO,Computer Science,09/12/19
Assistant Professor of Human Computer Interaction,State University of New York at Oswego,Oswego  NY,Computer Science,09/12/19
Tenure-Track Faculty Position,Massachusetts Institute of Technology,Cambridge  MA,Other Science Faculty,09/12/19
Faculty - Computer Information Science,Higher Colleges of Technology,Abu Dhabi  United Arab Emirates,Computer Science,09/12/19
Postdoctoral Research Associate,Northeastern University,Boston  MA,Computer Engineering,09/12/19
Assistant Professor - Coupled Human-Natural Systems Modeling and Analysis,University of Colorado Boulder,Boulder  CO,Environmental Science  Ecology  and Forestry,09/12/19
Adjunct Online Computer Systems Instructor,Lincoln Land Community College,Springfield  IL,Computer Science,09/12/19
Adjunct Online Computer Science Instructor,Lincoln Land Community College,Springfield  IL,Computer Science,09/12/19
Open Faculty Position in Computer Science Machine Learning,University of Colorado Boulder,Boulder  CO,Computer Science,09/12/19
Assistant Professor of Computer Science,Hampden-Sydney College,Hampden-Sydney  VA,Computer Science,09/11/19
Instructor for Online Computer Science Post Bacc Program,Oregon State University,Online/Remote,Computer Science,09/11/19
Tenure Track Assistant Professor in » Decision Analytics & Optimization «,Technical University of Munich (TUM),Munich  Germany,Information Systems and Technology,09/11/19
Assistant Professor of Data Science,The University of Iowa,Iowa City  IA,Statistics,09/11/19
Assistant Professor of Computer Science - tenure track (Faculty),University of Central Missouri,Warrensburg  MO,Computer Science,09/11/19
Assistant Professor of Computer Science - tenure track (Faculty),University of Central Missouri,Warrensburg  MO,Computer Science,09/11/19
Assistant Professor of Computer Science - Tenure Track (Faculty),University of Central Missouri,Warrensburg  MO,Computer Science,09/11/19
Assistant Professor of Computer Science - tenure track (Faculty),University of Central Missouri,Warrensburg  MO,Computer Science,09/11/19
Quarterly Part-Time Lecturer Position - Department of Computer Science,University of California  Irvine,Irvine  CA,Computer Science,09/11/19
FT Assistant Professor - Cybersecurity (52-weeks),Lansing Community College,Lansing  MI,Security Studies,09/11/19
Assistant Professor of Computer Science - Tenure Track,University of Central Missouri,Warrensburg  MO,Computer Science,09/11/19
Assistant Professor of Computer Science - Tenure Track,University of Central Missouri,Warrensburg  MO,Computer Science,09/11/19
Assistant Professor of Computer Science - Tenure Track,University of Central Missouri,Warrensburg  MO,Computer Science,09/11/19
Adjunct Faculty - Cyber Security,Baltimore City Community College,Baltimore  MD,Security Studies,09/11/19
Assistant Professor - Computer Science,University of Wisconsin - La Crosse,La Crosse  WI,Computer Science,09/10/19
Tenure Track Faculty Appointment in  Mathematics and Computer Science,Bethel University,Saint Paul  MN,Mathematics,09/10/19
Assistant Professor of Computer Science,Eastern Illinois University,Charleston  IL,Computer Science,09/10/19
CIS Program Director,ECPI University,Raleigh  NC,Other Deans,09/10/19
CSE Asst/Assoc/Full Professor,University of Michigan,Ann Arbor  MI,Computer Engineering,09/10/19
Teaching Fellow (Lecturer) - Information & Computer Science,University of Massachusetts - Amherst,Amherst  MA,Computer Science,09/10/19
FT/PT Lecturer/Sr. Lecturer - Information & Computer Sciences,University of Massachusetts - Amherst,Amherst  MA,Computer Science,09/10/19
Assistant/Associate Professor - Information Retrieval (IR),University of Massachusetts - Amherst,Amherst  MA,Computer Science,09/10/19
