job_title,university,location,job_type,date
F1900098 - Assistant  Associate or Full Professor - Computer Science and Engineering,University at Buffalo,Buffalo  NY,Computer Engineering,08/08/19
F1900097 - Professor of Empire Innovation - Computer Science and Engineering,University at Buffalo,Buffalo  NY,Computer Engineering,08/08/19
Chair  Electrical and Computer Engineering Department,University of Wisconsin-Platteville,Platteville  WI,Computer Engineering,08/05/19
Lecturer in Digital Forensics,Imam Abdulrahman Bin Faisal University,Dammam  Saudi Arabia,Computer Science,08/03/19
Lecturer in Cyber Security,Imam Abdulrahman Bin Faisal University,Dammam  Saudi Arabia,Computer Engineering,08/03/19
Associate Professor or Senior Assistant Professor in Cybersecurity,Imam Abdulrahman Bin Faisal University,Dammam  Saudi Arabia,Computer Science,08/03/19
Assistant/Associate Professor - Machine learning  neural networks  artificial intelligence,Auburn University,Auburn  AL,Computer Engineering,08/02/19
Part-Time Faculty - ELE659 Digital Signal Processing I (3 credits),Syracuse University,Syracuse  NY,Computer Engineering,07/31/19
Part-Time Faculty - ELE425/691 Microwave Engineering Fundamentals (3 credits),Syracuse University,Syracuse  NY,Computer Engineering,07/31/19
Part-Time Faculty - ELE400/691  Physical Principles of Wireless Communications (3 credits),Syracuse University,Syracuse  NY,Computer Engineering,07/31/19
Assistant Lecturers/Clinical Assistant Professors (Online/Remote) (Technology Off-Campus Degree Programs),Southern Illinois University Carbondale,Online/Remote,Electrical Engineering,07/25/19
Assistant Professor,Oklahoma State University,Stillwater  OK,Computer Engineering,07/24/19
Adjunct Professor - Electrical and Computer Engineering,Villanova University,Villanova  PA,Computer Engineering,07/19/19
Assistant Professor in Computer Engineering,North Dakota State University,Fargo  ND,Computer Engineering,07/11/19
Goodnight Distinguished Chair in Quantum Computing,North Carolina State University,Raleigh  NC,Computer Engineering,07/10/19
Tenure Track Assistant Professor of Computer Science and Engineering,Santa Clara University,Santa Clara  CA,Computer Science,07/09/19
Assistant Professor,Clarkson University,Potsdam  NY,Computer Engineering,07/08/19
Adjunct Faculty in Cyber-Physical Systems Engineering,DePaul University,Chicago  IL,Computer Engineering,07/05/19
Assistant/Associate/Full Teaching Professor - Electrical and Computer Engineering,Northeastern University,Boston  MA,Computer Engineering,07/03/19
Assistant Lecturers/Clinical Assistant Professors,Southern Illinois University Carbondale,Carbondale  IL,Electrical Engineering,06/27/19
Raymond J. Lane Department Chair - Computer Science and Electrical Engineering,West Virginia University,Morgantown  WV,Computer Engineering,06/27/19
Engineering Faculty Adjunct Pool,Texas Christian University,Fort Worth  TX,Biological Engineering,06/22/19
Postdoctoral Research Assoc,Northeastern University,Boston  MA,Electrical Engineering,06/21/19
Part-Time Engineering Instructor (Applicant Pool),Georgia State University,Atlanta Area  GA,Computer Engineering,06/19/19
Software Engineering Program Coordinator,Keiser University,Pembroke Pines  FL,Computer Engineering,06/18/19
Faculty - Assistant/Associate Professor - Computer and Electrical Engineering,Utah Valley University,Orem  UT,Computer Engineering,06/18/19
Applied Engineering Professor,Keiser University,West Palm Beach  FL,Civil and Environmental Engineering,06/15/19
Program Manager  CAD-CAM Technologies,Northampton Community College,Bethlehem  PA,Facilities Management,06/13/19
Post Doctoral Scientist,George Washington University,Washington  DC,Computer Engineering,06/12/19
Software Engineering Program Director,Keiser University,Melbourne  FL,Computer Engineering,06/11/19
Research Assistant Professor,The University of Arizona,Tucson  AZ,Electrical Engineering,06/08/19
Associate/Full Teaching Professor & Program Director,Drexel University,Philadelphia  PA,Computer Engineering,06/05/19
Assistant /Associate/Full Professor Computer Science and Software Engineering,University of Wisconsin-Platteville,Platteville  WI,Computer Engineering,06/04/19
Assistant/Associate Professor of Computer Engineering (F114),Azusa Pacific University,Azusa  CA,Computer Engineering,05/31/19
Assistant or Associate Professor of Computer Engineering,Embry-Riddle Aeronautical University,Prescott  AZ,Computer Engineering,05/29/19
Assistant / Associate Professor  Computer Science and Engineering,University of Cincinnati,Cincinnati  OH,Computer Engineering,05/22/19
Professor/Associate Professor/Assistant Professor,University of Michigan,Ann Arbor  MI,Biological Engineering,05/22/19
Temporary Lecturer - Jacobs School of Engineering MAS and ENG Programs,University of California  San Diego,San Diego  CA,Computer Engineering,05/21/19
Adjunct Faculty Pool - Computer Engineering Technology,Southwest Tennessee Community College,Memphis  TN,Computer Engineering,05/17/19
Post Doctoral Associate,Rutgers  The State University of New Jersey,New Brunswick  NJ,Computer Engineering,05/16/19
Associate/Assistant Professor of Software Engineering,The University of Virginia's College at Wise,Wise  VA,Computer Science,05/15/19
Non-Tenure Track Faculty,University of Texas at Arlington,Arlington  TX,Computer Engineering,05/14/19
Lecturer in Computer Science and Engineering,University of California  Riverside,Riverside  CA,Computer Engineering,05/09/19
Adjunct Electrical Engineering and Computer Science,Embry-Riddle Aeronautical University,Prescott  AZ,Computer Engineering,05/08/19
Open Rank Faculty Position (Non-Tenure Track) - Department of Electrical Engineering and Computer Science,Case Western Reserve University,Cleveland  OH,Electrical Engineering,05/03/19
EOF Engineering Summer Program Non-credit Coadjutant Instructors,Rutgers  The State University of New Jersey,New Brunswick  NJ,Physics,04/30/19
Adjunct Faculty  Engineering Technologies,Shawnee State University,Portsmouth  OH,Civil and Environmental Engineering,04/29/19
Lecturer I / Lecturer II (College of Engineering-Electrical and Computer Engineering),The University of Texas at San Antonio,San Antonio  TX,Electrical Engineering,04/27/19
Postdoctoral Scholar - Electrical Engineering & Computer Science,University of California  Irvine,Irvine  CA,Computer Engineering,04/26/19
Research Assistant Professor in Computer Engineering,University of Utah,Salt Lake City  UT,Computer Engineering,04/25/19
Part-time Lecturer Pool - Comp Science & Software Engineering,California Polytechnic State University - San Luis Obispo,San Luis Obispo  CA,Computer Engineering,04/24/19
Adjunct - Subject Matter Expert Course Developer: Computer Software Engineering,Saint Leo University,Saint Leo  FL,Computer Engineering,04/09/19
Adjunct Faculty  Engineering - 998501,Miami Dade College,Miami  FL,Civil and Environmental Engineering,04/05/19
Adjunct - College of Engineering and Computer Science (Fall 2019 - Summer 2020),Wright State University,Dayton  OH,Aerospace Engineering,03/28/19
Temporary Lecturer - Electrical and Computer Engineering (ECE) - 19/20,University of California  San Diego,La Jolla  CA,Computer Engineering,03/27/19
Lecturer/Instructor (Various)  Open Recruitment AY2019-2020 & Summer 2020 (FY19-146),Southern Illinois University Edwardsville,Edwardsville  IL,Civil and Environmental Engineering,03/18/19
Assistant/Associate/Full Professor,Auburn University,Auburn  AL,Mechanical Engineering,03/16/19
Adjunct Professor - Computer & Electronics Technology,Erie Community College,Buffalo  NY,Computer Engineering,03/15/19
Engineering Research Faculty,Liberty University,Lynchburg  VA,Civil and Environmental Engineering,03/14/19
Computer Information Technology Instructor (Reg FT 10 month  with benefits),Community College of Allegheny County,Pittsburgh  PA,Information Systems and Technology,02/28/19
Limited Term Adjunct Instructor  UA South (Cyber Operations  Engineering Track),The University of Arizona,Tucson  AZ,Electrical Engineering,02/28/19
Limited Term Adjunct Instructor  UA South (Cyber Operations  Defense and Forensics Track),The University of Arizona,Tucson  AZ,Computer Engineering,02/28/19
AI/Machine Learning Part-Time Instructor,University of California  Irvine,Irvine  CA,Computer Engineering,02/26/19
Postdoctoral Research Associate,Princeton University,Princeton  NJ,Mechanical Engineering,02/25/19
Assistant Teaching Professor - Electrical Engineering & Computer Science,Syracuse University,Syracuse  NY,Computer Science,02/21/19
Visiting Assistant Teaching Professor or Instructor - Electrical and Computer Engineering,Villanova University,Villanova  PA,Computer Engineering,02/14/19
Postdoctoral Research Associate,Princeton University,Princeton  NJ,Aerospace Engineering,02/14/19
Lecturer / Senior Lecturer - School of Electrical and Computer Engineering,Cornell University,Ithaca  NY,Computer Engineering,02/14/19
Software Engineering Instructor,Keiser University,Pembroke Pines  FL,Computer Engineering,02/07/19
Tenured Faculty,George Mason University,Fairfax  VA,Computer Engineering,02/07/19
Assistant/Associate / Full Professor of Computer Science or Cyber Engineering,Houston Baptist University,Houston  TX,Computer Science,02/04/19
Adjunct Professor – Engineering,Houston Baptist University,Houston  TX,Computer Engineering,02/04/19
ECE Part-Time Lecturer Positions,Rutgers  The State University of New Jersey,New Brunswick  NJ,Computer Engineering,01/23/19
Postdoctoral Research Associate - Modeling and Simulation of Fuel Cells and Batteries,University of Massachusetts Lowell,Lowell  MA,Computer Engineering,01/23/19
PT Faculty POOL - Drafting/CADD (Computer Aided Drafting/Design).,Coast Community College District,Orange County  CA,Computer Science,01/19/19
Software Engineering Instructor,Keiser University,Tampa  FL,Computer Engineering,01/16/19
Adjunct Faculty - Engineering,University of Indianapolis,Indianapolis  IN,Computer Engineering,01/07/19
Software Engineering Instructor,Keiser University,Tampa  FL,Computer Engineering,01/04/19
Part-Time Faculty: Open Campus - Art and Design,The New School,New York City  NY,Marketing and Sales,12/22/18
HDSI - Associate or Full Professor: Data Science - Multiple Areas,University of California  San Diego,La Jolla  CA,Computer Engineering,12/17/18
Tenure-Track Assistant Professor  Department of Electrical and Computer Engineering,George Mason University,Fairfax  VA,Computer Engineering,12/11/18
Assistant/Associate Professor of Computer Science (F165),Azusa Pacific University,Azusa  CA,Computer Engineering,11/29/18
Postdoctoral Research Associate,Princeton University,Princeton  NJ,Computer Engineering,11/25/18
CSE - Temporary Lecturer 2019/2020,University of California  San Diego,La Jolla  CA,Computer Engineering,11/01/18
Tenure-Track Faculty Positions - School of Electrical and Computer Engineering,Cornell University,Ithaca  NY,Computer Engineering,10/18/18
Assistant Professor (Lecturer),University of Utah,Salt Lake City  UT,Computer Engineering,10/12/18
Professor of Industrial Design: Electronic/Robotics Engineer,Savannah College of Art and Design,Savannah  GA,Computer Engineering,10/02/18
Assistant Professor/Associate Professor/Professor,University of Utah,Salt Lake City  UT,Computer Engineering,09/19/18
Computer Science and Engineering Department: CROSS Practitioner in Residence Pool (Ongoing),University of California  Santa Cruz,Santa Cruz  CA,Computer Engineering,09/18/18
Electrical and Computer Engineering Department: Lecturer Pool (Ongoing),University of California  Santa Cruz,Santa Cruz  CA,Computer Engineering,09/10/18
Computer Science and Engineering Department: Lecturer Pool (Ongoing),University of California  Santa Cruz,Santa Cruz  CA,Computer Engineering,09/10/18
Computer Science and Engineering Department: Adjunct Professor Pool (Ongoing),University of California  Santa Cruz,Santa Cruz  CA,Computer Science,09/10/18
Adjunct Instructor - Computer Numerical Controls (CNC),City Colleges of Chicago,Chicago  IL,Computer Engineering,08/21/18
Assistant Professor (Engineering),Prairie View A&amp;M University,Prairie View  TX,Electrical Engineering,07/11/18
Professor of Practice in Software Systems Engineering,Cornell University,Ithaca  NY,Computer Engineering,06/02/18
Joint Johns Hopkins/Army Research Lab Postdoctoral Fellowship,Johns Hopkins University,Baltimore  MD,Civil and Environmental Engineering,05/31/18
Part-Time Faculty - ECS 391 Legal Aspects of Engineering and Computer Science,Syracuse University,Syracuse  NY,Computer Engineering,05/14/18
Part-Time Computer Integrated Machining and Manufacturing Faculty,Metropolitan Community College - Kansas City,Kansas City  MO,Computer Engineering,04/02/18
Part-Time Applications Development Non-Credit Faculty,Metropolitan Community College - Kansas City,Kansas City  MO,Computer Engineering,04/02/18
Associate Professor  - Electrical and Computer Engineering,Marshall University,Huntington  WV,Electrical Engineering,03/08/18
Part-Time Mechatronics Instructor,Anne Arundel Community College,Arnold  MD,Mechanical Engineering,12/21/17
Engineering/Computer Science Associate Faculty,Everett Community College,Everett  WA,Computer Engineering,12/08/17
Adjuncts - Electrical & Computer Engineering,Rowan University,Glassboro  NJ,Computer Engineering,11/22/17
Computing and Informatics: Assistant/Full Professor,University of Louisiana at Lafayette,Lafayette  LA,Computer Science,11/02/17
Associate or Full Professor,Princeton University,Princeton  NJ,Computer Engineering,09/05/17
PT Lecturer Software Development,Northeastern University,Boston  MA,Computer Engineering,04/26/17
PT Lecturer-Computer Engineering Technology,Northeastern University,Boston  MA,Computer Engineering,04/25/17
Part-time Lecturer,Northeastern University,Boston  MA,Computer Engineering,04/25/17
Part-Time Lecturer,Northeastern University,Seattle  WA,Computer Engineering,04/25/17
Part-time Lecturer,Northeastern University,Boston  MA,Computer Engineering,04/25/17
Postdoctoral Research Fellow  Department of Electrical and Computer Engineering,George Mason University,Fairfax  VA,Electrical Engineering,04/11/17
IT - Software Developer Instructor Pool - Adjunct (Part-Time),Chippewa Valley Technical College,Eau Claire  WI,Computer Science,03/20/17
Adjunct Lecturer-Electrical & Computer Engineering,SUNY Polytechnic Institute,Utica  NY,Electrical Engineering,01/06/17
Computer Information Science (Programming) Adjunct Assistant Professor,Los Rios Community College District,Sacramento  CA,Computer Science,12/19/16
Software Engineering  Adjunct Faculty,Florida Gulf Coast University,Fort Myers  FL,Computer Engineering,02/23/16
Engineering Adjunct,Daytona State College,Daytona Beach  FL,Computer Engineering,08/08/15
